"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",0.260828112249751,0.530793172547015,0.419946837397583,0.477556711750655,1.34053858236227,0.780264278112493,1.84734565512192,1.7860180037479,1.11608226764778,2.01540509975391,2.12035394138809,0.715419350909645,1.90238913324102,2.21482594557207,2.32150115452282,2.19280581134674,1.64043929933357,1.88446456165772,1.80109878060388,2.33294388813966,1.18235118107306,1.60695404625681,0.547773348278904
"2",0.110140561564614,0.26091217369106,0.163282407365401,0.239174432649877,0.663162064171315,0.403347538921403,0.905483607148201,0.848498255732149,0.594525265388803,0.989110041082145,1.04701075823323,0.315545092263497,0.914378882932177,1.17699849050329,1.14322866309547,1.06852127789047,0.807252893987281,1.00284082135625,0.934425454077787,1.18947850778472,0.541638512709151,0.851302911293913,0.235376627457812
"3",0.00478319270769952,0.0978877875726819,0,0.0986914646752582,0.257331574120967,0.191378173438642,0.335712566473821,0.260423950163481,0.315891831759542,0.369234859593381,0.403694561730981,0.0463439801077658,0.302632583368205,0.620217371038197,0.43459070715779,0.383504834282085,0.305699451219791,0.53104705033062,0.450257385857415,0.533488005579596,0.12458664625415,0.443654315426282,0.020651533219692
"4",0,0.037776972736558,0,0.042644037170584,0.103648016740019,0.0942302641953634,0.120915171659488,0.0624687539283726,0.16913649633957,0.134445463859527,0.154369060582709,0,0.087956186852893,0.329728728246238,0.162736316656166,0.130807826317378,0.113808711690732,0.283381551197845,0.222222541645311,0.245642023789079,0.000776235113474771,0.233850403921057,0
"5",0,0,0,0.00824593635584978,0.00680150904876917,0.0384701741142276,0,0,0.0899965101273018,0,0.00690691861523396,0,0,0.172993226370815,0.00138785060904112,0,0,0.149978982179409,0.0955019942057699,0.0821778032138922,0,0.120217291273852,0
"6",0,0,0,0,0,0.00470839606214433,0,0,0.0469146364562948,0,0,0,0,0.0865827307863438,0,0,0,0.0768915827490454,0.0181990396445025,0,0,0.0566969395610463,0
"7",0,0,0,0,0,0,0,0,0.0235510592372599,0,0,0,0,0.0398820472779558,0,0,0,0.0373827764107662,0,0,0,0.0223826473002142,0
"8",0,0,0,0,0,0,0,0,0.0114210324768131,0,0,0,0,0.0162734119603832,0,0,0,0.0170151954717702,0,0,0,0.00578469804662926,0
"9",0,0,0,0,0,0,0,0,0.00461509688056204,0,0,0,0,0.00280275102326507,0,0,0,0.00553656519209698,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0.000725133851865896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0.353436334841884,0.349167779932657,0.328681992623285,0.380693064503521,0.154521651913825,0.325656118731893,0.00149717827324589,0,0.274829658876734,0,0,0.264623722408676,0,0.0557599883805684,0,0,0.0563766760896186,0.1545157855324,0.114700662396694,0,0.0579711447072571,0.191212457609003,0.36556762712411
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
