"","x"
"1",0.522215928715264
"2",0.757066300493128
"3",0.503222264421937
"4",0.318247528436404
"5",0.181307935632881
"6",0.0978779735082441
"7",0.0450167173032804
"8",0.0234682949504718
"9",0.0133379114072477
"10",0.00680340577868605
"11",0.00958105902434433
"12",0.138508848383251
"13",0.0889291500601003
"14",0.0311860524083264
"15",0.0100797460168345
"16",0.00127529080651542
"17",1.04106855416467e-05
"18",3.15021919643179e-28
"19",3.20493231586969e-33
"20",8.34263991715826e-38
"21",2.17893190070205e-42
"22",5.14248812664798e-47
"23",7.30082467489379e-117
"24",1.78261990626416e-127
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0.0353745677750255
"33",0.0696700924197008
"34",0.0116587863701671
"35",0.000473807025399776
"36",4.01310467045326e-05
"37",0.000105368592627825
"38",0.000263738914216475
"39",0.000353855773246137
"40",0.000274235810335654
"41",0.00031008824383652
"42",0.00192978827129915
"43",0.0193418378375957
"44",0.00282403464335741
"45",4.60407597286051e-11
"46",6.41507066678981e-17
"47",1.28758959281255e-22
"48",3.02660378052339e-28
"49",7.72889643425029e-34
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0.0111506977275044
"58",0.0109644041577085
"59",0.00103841246647179
"60",8.71943480872435e-05
"61",0.000126873401929522
"62",0.000190296967214539
"63",0.0124351579247553
"64",0.0122284484920845
"65",0.559682075345645
"66",0.937479982579043
"67",0.205150139376495
"68",0.0817725785196014
"69",0.0305717310564602
"70",0.0190866975771751
"71",0.0131907122456003
"72",1.13625768725716
"73",4.12705264717316
"74",5.37221855552592
"75",3.71829157458404
"76",2.52667603078679
"77",1.95844157618023
"78",1.72237086331705
"79",0.793159143027451
"80",1.04946840690029
"81",0.912779925592276
"82",0.381494565161819
"83",1.17118063420469
"84",3.0270472221112
"85",3.11878465850394
"86",1.03707507459986
"87",0.395224356804522
"88",0.32511977883267
"89",0.171904117167322
"90",0.39560000127899
"91",1.26977165510241
"92",1.6037364954803
"93",0.460005537603977
"94",0.349857225065652
"95",0.322248439472548
"96",0.0749773869790914
"97",0.025775811547188
"98",0.0239967071488074
"99",0.0212115382724084
"100",0.0595233876455502
"101",0.0502868629934899
"102",0.413226697663279
"103",0.0615337758086632
"104",5.35387286385679e-05
"105",2.42901651251068e-05
"106",9.32172257942516e-06
"107",4.51722226814436e-06
"108",1.33957669640317
"109",5.16973839573245
"110",4.4264427548496
"111",4.14433463935586
"112",5.2046624287592
"113",3.15373261091689
"114",3.87971387657659
"115",2.60685969571365
"116",1.99090958691336
"117",7.48851098711255
"118",10.1980892700886
"119",5.72332813479157
"120",8.20237913727446
"121",7.08782328774219
"122",3.95488392669996
"123",4.57996482174715
"124",6.76279164852385
"125",2.73719771608454
"126",1.67267091838998
"127",2.55717252103495
"128",10.3982399186073
"129",10.4414964328986
"130",4.86987116331082
"131",2.6372758481942
"132",1.53544282304505
"133",0.753237368466813
"134",1.23618830113097
"135",0.470903006672835
"136",0.177527405122114
"137",0.113739550963909
"138",0.392999992926584
"139",5.18711440590308
"140",4.60917512676651
"141",1.75459136277654
"142",3.31579983402906
"143",16.26602733453
"144",20.3481411042291
"145",16.0043132286985
"146",10.6106832434133
"147",5.62668799707439
"148",4.78201618291962
"149",3.80258673249514
"150",3.33110794309597
"151",3.88069017333917
"152",4.20975726657186
"153",4.13121190863803
"154",5.66342294978502
"155",2.62179829860358
"156",2.94002476000366
"157",5.56928208567511
"158",6.72170045384105
"159",6.3598138383027
"160",4.77018255752698
"161",2.52478499826189
"162",2.24185564213748
"163",1.36188982432346
"164",4.14670288928102
"165",8.61133222904124
"166",6.66805833566439
"167",3.21436633125291
"168",2.36746338723725
"169",1.59078706305265
"170",1.54459306693568
"171",0.592053068864438
"172",0.348690422327639
"173",0.223215908122535
"174",0.169469598878759
"175",0.672438898511422
"176",0.955062828588384
"177",0.150888570363982
"178",0.0271233266354118
"179",0.0315852831862265
"180",1.48471468146958
"181",2.45346820426755
"182",1.32883252599683
"183",0.759990446699249
"184",0.885285634370797
"185",3.88994777604063
"186",5.01428547327015
"187",1.99760037791269
"188",1.06755875455675
"189",0.704641335185983
"190",0.494484930422645
"191",0.687969689540688
"192",0.388432849447208
"193",0.146772937081736
"194",0.0883043738658814
"195",0.219074679546661
"196",0.582328874641441
"197",0.0933535567079476
"198",0.0174077261996954
"199",0.484115667058499
"200",1.39260142500355
"201",3.18646067739375
"202",3.61070094738576
"203",2.1719744149359
"204",1.58680447018163
"205",1.00678479916502
"206",0.735195351212948
"207",0.468739153075438
"208",0.308219413794102
"209",0.212240086423901
"210",0.334379261313205
"211",0.384246046485438
"212",0.55400121584322
"213",0.176312929482673
"214",0.138468112919532
"215",0.0267344333058987
"216",0.00994445166285128
"217",0.00526169235474299
"218",0.00266702700686937
"219",0.00134006212779118
"220",0.000664506505585891
"221",0.000323239076001784
"222",0.000153488451164466
"223",6.78933164700173e-05
"224",2.14063130153008e-05
"225",1.37620278686788e-06
"226",4.53465379865895e-08
"227",3.017031507332e-09
"228",0.0184855042848704
"229",10.4514866048059
"230",15.3886725989035
"231",6.88176779982061
"232",4.06176501283555
"233",2.66435115150328
"234",1.81183083202073
"235",1.32142474810509
"236",0.992462186467557
"237",0.582709399690983
"238",0.390773392981991
"239",0.437197711219558
"240",2.6776468022264
"241",0.850461841968007
"242",0.201824860345261
"243",0.110760155592515
"244",0.0442676686200722
"245",0.0293251802364068
"246",0.0853536264006915
"247",0.0165482075424481
"248",0.00735010416664014
"249",0.00431283943499374
"250",0.00218329178416492
"251",0.00110006276393993
"252",0.00054366656142732
"253",0.000260013253275016
"254",0.000113632640235721
"255",3.49006840226578e-05
"256",2.62636869623227e-06
"257",8.82122185206919e-09
"258",7.43599275240925e-18
"259",3.20151853003692e-25
"260",7.5253399533952e-31
"261",1.921697865814e-36
"262",3.23125995346622e-119
"263",7.8896680436998e-130
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0.0197045210458546
"351",0.0164592386803433
"352",0.00522041706663387
"353",0.00497129502651248
"354",0.00231723183585844
"355",0.00153739169013349
"356",0.00109532753346061
"357",0.00119673195948418
"358",0.000886074406089382
"359",0.000639030687921674
"360",0.0025905121536856
"361",0.0233737915058851
"362",0.00360847881073241
"363",4.32243455899637e-11
"364",6.01659858737835e-17
"365",1.20761097102981e-22
"366",2.83860630027043e-28
"367",7.24881606690075e-34
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
